gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,weight,symbol,entrez,shrunkLFC,class
ENSG00000111907,44.47795832,0.727403649,0.248680525,2.925052735,0.003443979,0.079088279,2.154407114,TPD52L1,7164,0.24799947,Up*
ENSG00000112539,157.9127667,-1.046269349,0.312140158,-3.351921639,0.000802527,0.029290365,2.011375801,C6orf118,168090,-0.483051599,Down*
ENSG00000114126,1850.290753,-0.700713698,0.203475422,-3.443726477,0.000573756,0.081238928,0.341254491,TFDP2,7029,-0.428823119,Down*
ENSG00000114279,314.3461399,0.741063253,0.208659121,3.551549769,0.00038297,0.030791,0.890250356,FGF12,2257,0.480402319,Up*
ENSG00000114374,1730.460263,-3.769164131,0.562028898,-6.706352901,1.99549E-11,2.01214E-08,0.409614407,USP9Y,8287,-3.553400663,Down*
ENSG00000114656,151.2559985,-0.838568766,0.247745235,-3.38480281,0.000712294,0.026558117,2.011375801,CFAP92,57501,-0.45085666,Down*
ENSG00000114859,243.6998485,-0.434643474,0.153786893,-2.826271237,0.004709337,0.095654411,2.187691391,CLCN2,1181,-0.171358417,Down*
ENSG00000114948,1063.655779,0.506366488,0.13996551,3.617794754,0.000297124,0.024568771,0.920535377,ADAM23,8745,0.371024487,Up*
ENSG00000115138,179.3359296,4.020036286,0.587764152,6.839539756,7.9448E-12,1.90621E-09,2.187691391,POMC,5443,3.774806756,Up*
ENSG00000115163,66.19437005,-0.829625861,0.266144743,-3.117198006,0.001825789,0.05324941,2.017914586,CENPA,1058,-0.332763074,Down*
ENSG00000115194,13.59796967,1.602050767,0.503251004,3.183403024,0.001455549,0.099900253,0.63291661,SLC30A3,7781,0.483496721,Up*
ENSG00000115648,15.51137666,1.984627149,0.563669263,3.520907172,0.000430073,0.034501935,0.858088624,MLPH,79083,0.968878531,Up*
ENSG00000115750,269.2727107,-0.38978704,0.130034473,-2.997566969,0.002721441,0.066492124,2.187691391,TAF1B,9014,-0.190347741,Down*
ENSG00000116791,287.0986815,1.267971255,0.285613657,4.439462976,9.01836E-06,0.001390809,0.902601561,CRYZ,1429,1.053874983,Up*
