Gene symbol,Entrez ID,Correlation with Braak r,P-value of correlation with Braak r (BH-corrected),Fold-change between R1 and R6,P-value of fold-change between R1 and R6 (BH-corrected)
KIF21A,55605,-0.76,3.07E-03,-1.42,2.49E-03
DACT2,168002,-0.76,1.75E-04,-2.31,5.62E-04
HOXB5,3215,-0.76,1.40E-04,-7.00,5.98E-04
CHRAC1,54108,-0.76,1.98E-04,-1.48,7.63E-04
RELL1,768211,-0.76,3.57E-04,-1.83,1.31E-04
ATP11C,286410,-0.76,1.08E-03,-1.94,6.04E-04
TCIRG1,10312,-0.76,8.62E-05,-1.66,1.13E-03
TGFBR1,7046,-0.76,5.00E-04,-1.91,8.94E-04
HHEX,3087,-0.76,2.25E-03,-1.70,2.91E-03
ZC3HAV1,56829,-0.76,3.23E-04,-1.58,1.87E-03
FOXA2,3170,-0.76,7.06E-04,-1.71,1.87E-03
BTN2A2,10385,-0.76,5.06E-04,-1.60,6.73E-04
SUSD2,56241,-0.76,1.09E-04,-3.37,5.35E-04
SP110,3431,-0.76,2.24E-04,-1.47,2.61E-03
HOXA6,3203,-0.76,1.14E-04,-5.57,5.17E-04
LOC401021,401021,-0.76,9.78E-04,-1.46,2.38E-03
ALS2CR11,151254,-0.76,4.24E-04,-1.95,6.73E-04
BHLHE41,79365,-0.76,3.56E-04,-1.70,1.11E-03
LGALS3BP,3959,-0.76,4.73E-04,-2.23,2.84E-03
MX1,4599,-0.76,6.83E-04,-1.81,2.41E-03
MMEL1,79258,-0.76,8.82E-04,-2.47,2.35E-03
IFITM3,10410,-0.76,3.61E-04,-1.79,6.96E-04
EMILIN2,84034,-0.76,2.23E-04,-3.02,2.09E-04
FAM46A,55603,-0.75,3.23E-04,-1.57,7.10E-04
CALB2,794,-0.75,3.64E-04,-3.30,5.06E-04
VAT1,10493,-0.75,1.88E-04,-2.06,6.13E-04
SERPINA6,866,-0.75,7.75E-04,-1.76,9.27E-04
ADM,133,-0.75,2.17E-04,-2.29,6.13E-04
WDR49,151790,-0.75,3.30E-04,-2.22,7.63E-04
SH3D19,152503,-0.75,1.82E-04,-1.40,8.08E-04
FCGR2A,2212,-0.75,7.93E-04,-1.56,8.25E-04
RASGEF1B,153020,-0.75,9.64E-04,-2.63,2.41E-03
BCO2,83875,-0.75,4.26E-04,-1.38,6.35E-04
AMIGO2,347902,-0.75,4.10E-04,-2.84,1.91E-03
LOC727869,727869,-0.75,2.30E-04,-1.71,1.02E-03
GLIS3,169792,-0.75,3.94E-04,-1.60,2.04E-03
TANC1,85461,-0.75,4.67E-04,-1.80,1.31E-03
ABTB2,25841,-0.75,1.29E-04,-2.48,6.55E-04
HPSE2,60495,-0.75,5.96E-04,-2.66,1.96E-03
VWA5A,4013,-0.75,9.47E-04,-2.19,6.45E-04
CLGN,1047,-0.75,1.88E-04,-1.66,3.89E-04
ZDHHC20,253832,-0.75,3.84E-04,-1.51,8.05E-04
ANO6,196527,-0.75,7.00E-04,-1.36,1.38E-03
HOXB4,3214,-0.75,9.18E-05,-4.09,1.12E-04
HOXD-AS1,401022,-0.74,5.51E-04,-1.93,6.04E-04
ONECUT1,3175,-0.74,1.76E-04,-3.04,1.55E-03
CASC2,255082,-0.74,1.87E-03,-1.40,1.90E-03
SPATA13,221178,-0.74,1.55E-04,-1.58,8.96E-04
CAPN2,824,-0.74,5.40E-04,-1.40,1.68E-03
CRABP1,1381,-0.74,7.71E-04,-2.78,5.62E-04
COL4A3,1285,-0.74,3.18E-04,-2.34,1.79E-03
WIPF1,7456,-0.74,2.08E-04,-2.28,1.52E-03
SMOC2,64094,-0.74,4.67E-04,-2.05,8.96E-04
MYOM1,8736,-0.74,3.84E-04,-1.59,2.63E-03
C12ORF75,387882,-0.74,1.15E-03,-1.75,1.26E-03
FGL2,10875,-0.74,1.08E-03,-1.66,5.11E-04
PLEKHA4,57664,-0.74,1.98E-04,-1.84,1.86E-03
LPCAT2,54947,-0.74,2.28E-03,-1.85,1.21E-03
OTUD7B,56957,-0.74,2.08E-04,-2.01,2.33E-03
TIMP4,7079,-0.74,6.56E-04,-2.17,2.00E-03
SLC27A1,376497,-0.74,4.13E-04,-1.45,1.93E-03
TLX1,3195,-0.74,9.12E-04,-1.46,1.66E-03
FGF1,2246,-0.74,2.71E-04,-1.82,1.73E-03
WEE1,7465,-0.74,1.45E-03,-2.35,1.95E-03
PK4P,8502,-0.74,3.30E-04,-1.60,1.87E-03
AQP1,358,-0.74,9.62E-04,-3.56,2.98E-03
