Gene symbol,Entrez ID,Correlation with Braak r,P-value of correlation with Braak r (BH-corrected),Fold-change between R1 and R6,P-value of fold-change between R1 and R6 (BH-corrected)
LCE3C,353144,0.85,1.77E-04,3.14,7.13E-04
UNC5A,90249,0.85,9.18E-05,2.88,3.89E-04
BAIAP2L2,80115,0.85,2.31E-04,2.44,1.10E-03
SATB2,23314,0.85,9.18E-05,3.86,1.95E-04
RASL11B,65997,0.85,1.09E-04,3.47,2.29E-04
MUCL1,118430,0.85,3.32E-04,2.74,8.94E-04
LDB2,9079,0.85,1.43E-04,3.37,3.89E-04
PLCB1,23236,0.85,1.56E-04,2.74,3.88E-04
KCNIP3,30818,0.85,3.85E-04,2.15,5.78E-04
ANXA8,653145,0.85,3.14E-04,3.89,2.07E-03
CECR6,27439,0.85,1.45E-04,2.34,6.83E-04
LHX6,26468,0.85,4.40E-04,4.28,2.26E-03
IQWD1,55827,0.86,4.83E-04,2.09,5.62E-04
GABRB2,2561,0.86,1.25E-04,2.86,5.62E-04
KMO,8564,0.86,2.43E-04,2.84,2.31E-04
CACNG3,10368,0.86,8.62E-05,3.74,2.64E-04
RPRML,388394,0.86,1.09E-04,6.07,3.96E-04
KCNH1,3756,0.86,2.80E-04,3.25,1.31E-03
LOC100287347,100287347,0.86,1.21E-04,3.87,1.71E-04
ZBBX,79740,0.86,2.58E-04,3.56,3.95E-04
SGK493,91461,0.86,1.57E-04,2.94,2.00E-04
SSX2IP,117178,0.86,1.09E-04,2.54,4.68E-04
SEPT5,5413,0.86,6.72E-04,2.88,6.39E-04
CABP1,9478,0.86,1.09E-04,3.70,3.20E-04
EXTL1,2134,0.86,1.56E-04,2.46,2.56E-04
NGEF,25791,0.86,1.28E-04,4.15,5.62E-04
C6orf142,90523,0.86,8.62E-05,4.54,1.12E-04
CHRD,8646,0.86,1.66E-04,2.55,9.76E-04
DLX6-AS1,285987,0.86,3.60E-04,3.78,5.67E-04
CORT,1325,0.86,1.79E-04,2.71,1.01E-03
OLFM1,10439,0.86,8.62E-05,2.53,4.45E-04
ERICH1-AS1,619343,0.86,2.39E-04,2.82,6.39E-04
ZDHHC23,254887,0.86,1.09E-04,3.61,4.68E-04
OVOL2,58495,0.86,2.40E-04,3.49,8.96E-04
PKD2L1,9033,0.86,1.19E-04,5.07,1.31E-04
MPPED1,758,0.86,1.41E-04,3.01,4.15E-04
FLRT2,23768,0.86,1.09E-04,2.76,3.30E-04
FEZF2,55079,0.86,2.32E-04,5.47,1.78E-04
MAL2,114569,0.87,1.19E-04,4.05,1.97E-04
LNX1,84708,0.87,8.62E-05,2.75,1.05E-03
PTK2B,2185,0.87,4.86E-04,3.27,1.98E-03
TMEM132D,121256,0.87,1.77E-04,3.22,4.79E-04
DUSP27,92235,0.87,8.20E-04,3.00,9.76E-04
RGS4,5999,0.87,8.62E-05,2.93,1.12E-04
PDP1,54704,0.87,8.62E-05,2.61,4.68E-04
AC017096.1,150538,0.87,3.68E-04,3.20,1.53E-03
C17orf96,100170841,0.87,1.21E-04,3.59,3.86E-04
KCNV1,27012,0.87,8.62E-05,5.34,1.12E-04
STX1A,6804,0.87,1.14E-04,4.16,1.31E-04
GDA,9615,0.87,8.62E-05,6.84,1.12E-04
CCK,885,0.87,8.62E-05,6.00,2.03E-04
C14orf23,387978,0.87,1.90E-04,4.25,5.17E-04
CA11,770,0.87,1.31E-04,3.29,1.12E-04
LRRC8B,23507,0.88,3.68E-04,2.25,4.72E-04
LMO4,8543,0.88,1.09E-04,3.30,4.79E-04
KCTD1,284252,0.88,1.47E-04,2.68,3.89E-04
FHL2,2274,0.88,9.18E-05,4.76,1.86E-04
LOC100290023,100290023,0.88,2.99E-04,4.20,1.13E-03
KCNH3,23416,0.88,1.98E-04,3.39,1.50E-04
KCNJ4,3761,0.88,2.53E-04,4.74,9.51E-04
PAK7,57144,0.88,1.09E-04,3.48,4.01E-04
C6orf105,84830,0.88,2.00E-04,4.14,4.48E-04
EGR3,1960,0.88,1.76E-04,4.95,9.73E-04
DLX2,1746,0.88,4.83E-04,3.27,1.08E-03
TMEM155,132332,0.88,1.41E-04,6.77,1.50E-04
ABCC12,94160,0.88,1.45E-04,4.12,6.45E-04
KCNS1,3787,0.88,9.18E-05,5.30,2.94E-04
ITPR1,3708,0.89,9.18E-05,3.05,1.60E-04
TBR1,10716,0.89,2.34E-04,3.94,5.62E-04
MCHR2,84539,0.89,3.35E-04,3.59,5.97E-04
C11orf41,25758,0.89,8.62E-05,2.92,4.01E-04
R3HDM1,23518,0.89,1.27E-04,2.79,6.04E-04
EPHB6,2051,0.89,1.01E-04,4.17,3.46E-04
AC109486.1,25859,0.90,3.80E-04,4.06,3.37E-04
AC079341.1,100192379,0.90,1.29E-04,4.64,4.68E-04
MEF2C,4208,0.90,9.23E-05,4.08,1.52E-04
ZNF727,442319,0.90,9.69E-05,4.31,4.44E-04
C13orf16,121793,0.90,1.09E-04,4.14,2.81E-04
SLC26A4,5172,0.90,1.24E-04,3.98,5.48E-04
TNNT2,7139,0.90,1.14E-04,5.20,7.57E-04
ADCY2,108,0.90,2.27E-04,4.25,3.53E-04
KIAA0748,9840,0.91,1.21E-04,5.52,3.20E-04
AC078937.4,286002,0.91,1.55E-04,4.97,4.37E-04
CHN1,1123,0.91,1.06E-04,3.19,2.56E-04
FOXG1B,2290,0.91,1.14E-04,8.45,1.60E-04
DLX1,1745,0.91,2.55E-04,5.34,4.68E-04
C2orf55,343990,0.91,1.21E-04,4.95,1.12E-04
KCNF1,3754,0.91,1.09E-04,4.93,4.68E-04
TIAM2,26230,0.91,8.62E-05,4.91,3.30E-04
ITPKA,3706,0.91,1.53E-04,5.61,3.54E-04
NRGN,4900,0.91,8.62E-05,6.19,1.12E-04
RXFP1,59350,0.91,2.74E-04,4.56,3.42E-04
LY86-AS1,285780,0.91,1.09E-04,5.97,1.12E-04
THEMIS,387357,0.91,1.09E-04,6.11,3.89E-04
AC112641.2,401097,0.91,8.62E-05,4.20,1.12E-04
OR14I1,401994,0.91,1.90E-04,5.46,1.31E-04
CRYM,1428,0.92,8.62E-05,7.56,1.12E-04
GALNTL5,168391,0.92,1.21E-04,5.35,5.78E-04
